timesteps,rewards
1.856000000000000000e+03,-1.009523669999999953e+02
3.872000000000000000e+03,-1.162139080000000035e+02
5.008000000000000000e+03,-1.011997109999999935e+02
6.080000000000000000e+03,-1.017793410000000023e+02
9.120000000000000000e+03,-1.268230930000000001e+02
9.776000000000000000e+03,-1.046809980000000024e+02
1.116800000000000000e+04,-1.008677600000000041e+02
1.238400000000000000e+04,-1.031504170000000045e+02
1.484800000000000000e+04,-1.284242769999999894e+02
1.766400000000000000e+04,-1.278255259999999964e+02
1.918400000000000000e+04,-1.052049430000000001e+02
2.196800000000000000e+04,-1.327901249999999891e+02
2.566400000000000000e+04,-1.373584309999999959e+02
2.787200000000000000e+04,-1.289088999999999885e+02
2.934400000000000000e+04,-1.092663770000000056e+02
3.056000000000000000e+04,-1.042767809999999997e+02
3.182400000000000000e+04,-1.049277819999999934e+02
3.326400000000000000e+04,-1.042355459999999994e+02
3.492800000000000000e+04,-1.056203880000000055e+02
3.609600000000000000e+04,-1.058979240000000033e+02
3.780800000000000000e+04,-1.077225040000000007e+02
6.340800000000000000e+04,-1.064305240000000055e+02
8.900800000000000000e+04,-8.877734399999999937e+01
1.146080000000000000e+05,-7.845116000000000156e+01
1.402080000000000000e+05,-8.151567099999999755e+01
1.856000000000000000e+05,-6.670940600000000131e+01
2.112000000000000000e+05,-3.800489199999999812e+01
2.368000000000000000e+05,-3.338451500000000038e+01
2.624000000000000000e+05,-2.861422200000000160e+01
2.880000000000000000e+05,-2.897112600000000171e+01
3.136000000000000000e+05,-3.283223300000000222e+01
3.456000000000000000e+05,-2.789996999999999971e+01
3.712000000000000000e+05,-2.772560599999999909e+01
3.968000000000000000e+05,-2.999853200000000086e+01
4.224000000000000000e+05,-2.663057600000000136e+01
4.480000000000000000e+05,-2.562761000000000067e+01
4.736000000000000000e+05,-1.811355800000000116e+01
5.056000000000000000e+05,-1.098130600000000001e+01
5.312000000000000000e+05,-8.318405999999999523e+00
5.568000000000000000e+05,-7.536227000000000231e+00
5.824000000000000000e+05,-1.218950599999999973e+01
6.080000000000000000e+05,-5.907400000000000428e-01
6.336000000000000000e+05,-1.690830999999999973e+00
6.407200000000000000e+05,-1.088559829999999948e+02
6.663200000000000000e+05,-3.171018000000000114e+00
6.919200000000000000e+05,-5.604331000000000174e+00
6.935680000000000000e+05,-9.742684900000000425e+01
7.191680000000000000e+05,-6.163642000000000287e+00
7.447680000000000000e+05,-7.422424999999999606e+00
7.703680000000000000e+05,-2.622399999999999842e+00
7.959680000000000000e+05,-4.199221999999999788e+00
7.989920000000000000e+05,-8.877440799999999399e+01
8.022720000000000000e+05,-9.359253999999999962e+01
8.278720000000000000e+05,-3.462803000000000075e+00
8.534720000000000000e+05,-3.579600000000000004e-01
8.790720000000000000e+05,-2.246195999999999859e+00
9.046720000000000000e+05,-1.839960000000000040e+00
9.302720000000000000e+05,7.577519999999999811e-01
9.558720000000000000e+05,-3.322970999999999897e+00
9.856000000000000000e+05,-4.029423000000000421e+00
1.011200000000000000e+06,-2.511019999999999919e-01
1.036800000000000000e+06,-2.292974000000000068e+00
1.062400000000000000e+06,3.120474000000000192e+00
1.088000000000000000e+06,-5.142095000000000304e+00
1.113600000000000000e+06,3.277970000000000050e-01
1.145600000000000000e+06,-1.764356000000000035e+00
1.171200000000000000e+06,1.103590999999999989e+00
1.196800000000000000e+06,-2.649581099999999978e+01
1.222400000000000000e+06,5.019328999999999930e+00
1.229280000000000000e+06,-9.755659300000000655e+01
1.254880000000000000e+06,-1.882843000000000044e+00
1.305600000000000000e+06,7.550767999999999702e+00
1.309344000000000000e+06,-9.793064699999999334e+01
1.334944000000000000e+06,-6.401214999999999655e+00
1.337344000000000000e+06,-9.283426900000000614e+01
1.362944000000000000e+06,3.228676999999999797e+00
1.388544000000000000e+06,3.584816000000000003e+00
1.414144000000000000e+06,4.136972000000000094e+00
1.439744000000000000e+06,-7.079199999999999382e-02
1.442096000000000000e+06,-8.841365100000000155e+01
1.467696000000000000e+06,2.741906000000000176e+00
1.493296000000000000e+06,-6.585380999999999929e+00
1.518896000000000000e+06,-4.041216000000000363e+00
1.544496000000000000e+06,4.983353000000000144e+00
1.570096000000000000e+06,1.302040000000000086e+00
1.595696000000000000e+06,2.313060000000000116e-01
1.625600000000000000e+06,2.445911999999999864e+00
1.651200000000000000e+06,8.076969000000000065e+00
1.676800000000000000e+06,7.065510999999999875e+00
1.702400000000000000e+06,7.043612999999999680e+00
1.703584000000000000e+06,-1.031790289999999999e+02
1.729184000000000000e+06,9.613939000000000235e+00
1.754784000000000000e+06,8.026856000000000435e+00
1.785600000000000000e+06,7.004944000000000059e+00
1.787632000000000000e+06,-1.171610040000000055e+02
1.789056000000000000e+06,-9.502347299999999564e+01
1.814656000000000000e+06,1.614044999999999952e+00
1.840256000000000000e+06,6.778895999999999589e+00
1.865856000000000000e+06,-2.281927000000000039e+00
1.891456000000000000e+06,-7.484800000000000342e-01
1.917056000000000000e+06,-3.853851999999999833e+00
1.945600000000000000e+06,1.524510700000000085e+01
1.971200000000000000e+06,7.297685999999999673e+00
1.996800000000000000e+06,9.386950999999999823e+00
2.022400000000000000e+06,8.099823000000000661e+00
2.048000000000000000e+06,1.194563999999999915e+01
2.073600000000000000e+06,7.786662999999999890e+00
2.074912000000000000e+06,-1.155004380000000026e+02
2.077744000000000000e+06,-8.970565999999999462e+01
2.105600000000000000e+06,1.247383499999999934e+01
2.131200000000000000e+06,1.057551499999999933e+01
2.156800000000000000e+06,4.937911999999999857e+00
2.158080000000000000e+06,-9.452038000000000295e+01
2.183680000000000000e+06,7.893393999999999799e+00
2.209280000000000000e+06,8.897804000000000713e+00
2.210368000000000000e+06,-1.043618840000000034e+02
2.235968000000000000e+06,8.540502000000000038e+00
2.265600000000000000e+06,8.250299000000000049e+00
2.291200000000000000e+06,1.190458899999999964e+01
2.316800000000000000e+06,9.198366000000000042e+00
2.342400000000000000e+06,6.459130000000000038e+00
2.368000000000000000e+06,1.456578700000000026e+01
2.393600000000000000e+06,1.649872200000000078e+01
2.402048000000000000e+06,-1.189191979999999944e+02
2.405904000000000000e+06,-9.622992899999999850e+01
2.431504000000000000e+06,-5.659672999999999732e+00
2.457104000000000000e+06,-4.205579999999999874e-01
2.472368000000000000e+06,-1.028176370000000048e+02
2.497968000000000000e+06,7.947385999999999839e+00
2.523568000000000000e+06,2.122234999999999872e+00
2.549168000000000000e+06,-1.622976999999999892e+00
2.584960000000000000e+06,3.334140000000000104e+00
2.610560000000000000e+06,-6.671639999999999793e-01
2.636160000000000000e+06,1.037700000000000067e+01
2.661760000000000000e+06,7.220863999999999727e+00
2.687360000000000000e+06,1.157268200000000036e+01
2.712960000000000000e+06,7.056963999999999793e+00
2.714400000000000000e+06,-1.025551980000000043e+02
2.745600000000000000e+06,-8.137640000000000429e-01
2.747152000000000000e+06,-9.660929400000000555e+01
2.772752000000000000e+06,7.170773999999999759e+00
2.778160000000000000e+06,-9.232376299999999958e+01
2.779536000000000000e+06,-1.178772430000000071e+02
2.805136000000000000e+06,1.091495600000000010e+01
2.830736000000000000e+06,1.216163700000000070e+01
2.856336000000000000e+06,6.357426000000000244e+00
2.905600000000000000e+06,1.175496200000000080e+01
2.931200000000000000e+06,2.765429999999999833e+00
2.938192000000000000e+06,-1.068789369999999934e+02
2.963792000000000000e+06,8.605995000000000061e+00
2.989392000000000000e+06,1.341781899999999972e+01
3.014992000000000000e+06,8.566940999999999917e+00
3.065600000000000000e+06,1.120892699999999920e+01
3.091200000000000000e+06,2.108458200000000105e+01
3.116800000000000000e+06,1.628005599999999831e+01
3.142400000000000000e+06,4.309376999999999569e+00
3.168000000000000000e+06,2.248397999999999897e+01
3.168960000000000000e+06,-1.082143300000000039e+02
3.194560000000000000e+06,2.738338999999999857e+00
3.225600000000000000e+06,1.115392399999999995e+01
3.251200000000000000e+06,2.901440000000000019e+00
3.276800000000000000e+06,9.611271999999999593e+00
3.302400000000000000e+06,1.599169900000000055e+01
3.328000000000000000e+06,1.220669600000000088e+01
3.353600000000000000e+06,1.368417099999999920e+01
3.385600000000000000e+06,1.276798699999999975e+01
3.411200000000000000e+06,7.726475999999999900e+00
3.436800000000000000e+06,9.986033000000000825e+00
3.462400000000000000e+06,1.367613599999999963e+01
3.488000000000000000e+06,1.084080100000000080e+01
3.488896000000000000e+06,-1.093400819999999953e+02
3.489904000000000000e+06,-1.087295699999999954e+02
3.515504000000000000e+06,-7.195135999999999754e+00
3.545600000000000000e+06,5.552308000000000021e+00
3.546624000000000000e+06,-1.123596620000000001e+02
3.572224000000000000e+06,2.724327000000000165e+00
3.582624000000000000e+06,-1.201614440000000030e+02
3.608224000000000000e+06,4.085092000000000390e+00
3.633824000000000000e+06,4.299668999999999741e+00
3.659424000000000000e+06,-3.037059100000000100e+01
3.705600000000000000e+06,5.841910000000000158e-01
3.731200000000000000e+06,3.998384999999999856e+00
3.756800000000000000e+06,-8.374209999999999710e-01
3.782400000000000000e+06,-3.004233999999999849e+00
3.808000000000000000e+06,7.800575000000000259e+00
3.833600000000000000e+06,-4.109712000000000032e+00
3.842464000000000000e+06,-1.014625290000000035e+02
3.845232000000000000e+06,-1.346101669999999899e+02
3.847888000000000000e+06,-1.030303679999999957e+02
3.873488000000000000e+06,-1.422220199999999934e+01
3.899088000000000000e+06,-9.376286999999999594e+00
3.924688000000000000e+06,5.447180999999999607e+00
3.950288000000000000e+06,-6.599628000000000050e+00
3.975888000000000000e+06,3.483057000000000070e+00
4.025600000000000000e+06,6.890924000000000049e+00
4.051200000000000000e+06,-6.168764999999999610e+00
4.076800000000000000e+06,1.033208600000000033e+01
4.078368000000000000e+06,-9.454278600000000665e+01
4.103968000000000000e+06,9.538228000000000151e+00
4.129568000000000000e+06,3.019750000000000156e+00
4.155168000000000000e+06,2.972752999999999979e+00
4.185600000000000000e+06,6.428524999999999601e+00
4.211200000000000000e+06,8.285329999999999639e-01
4.236800000000000000e+06,6.055559999999999832e-01
4.262400000000000000e+06,-6.372575000000000323e+00
4.288000000000000000e+06,2.649929000000000201e+00
4.313600000000000000e+06,4.738659000000000177e+00
4.315280000000000000e+06,-1.020717609999999951e+02
4.345600000000000000e+06,9.848311000000000703e+00
4.371200000000000000e+06,1.137626200000000054e+01
4.396800000000000000e+06,5.925600000000000200e+00
4.422400000000000000e+06,1.424313899999999933e+01
4.448000000000000000e+06,-6.043880000000000363e-01
4.473600000000000000e+06,1.007966000000000051e+01
4.505600000000000000e+06,1.923355199999999954e+01
4.531200000000000000e+06,7.971808000000000227e+00
4.556800000000000000e+06,8.462800000000000322e-01
4.582400000000000000e+06,1.017462500000000070e+01
4.608000000000000000e+06,1.474365000000000059e+01
4.633600000000000000e+06,9.530385000000000773e+00
4.665600000000000000e+06,9.973456000000000543e+00
4.691200000000000000e+06,7.891937000000000424e+00
4.716800000000000000e+06,1.407425500000000085e+01
4.742400000000000000e+06,8.337505999999999418e+00
4.743104000000000000e+06,-1.038960529999999949e+02
4.768704000000000000e+06,7.636883000000000088e+00
4.794304000000000000e+06,6.680231000000000030e+00
4.825600000000000000e+06,6.839705000000000368e+00
4.851200000000000000e+06,1.792176600000000164e+01
4.876800000000000000e+06,-3.410920000000000063e-01
4.902400000000000000e+06,-4.362269999999999759e-01
4.928000000000000000e+06,1.124552699999999916e+01
4.953600000000000000e+06,6.423523000000000316e+00
4.985600000000000000e+06,1.552413600000000038e+01
