Wall time,Step,Value
1733803878.694204,10255,4.882772445678711
1733803883.1646776,10613,11.576940536499023
1733803892.4298456,11126,4.206788539886475
1733803898.864208,11488,2.39485239982605
1733803906.5949175,11921,1.4336520433425903
1733803913.2430747,12320,1.6230220794677734
1733803919.2470262,12658,1.5787274837493896
1733803928.7602718,13179,2.0781941413879395
1733803941.7189164,13945,1.1570104360580444
1733803947.303098,14242,1.1325256824493408
1733803974.4764464,15746,0.5705575942993164
1733804033.1286886,19188,1.131626844406128
1733804041.2705157,19601,1.696702241897583
1733804053.9446192,20000,1.5815794467926025
1733804141.5144472,24913,0.550378143787384
1733804242.1123738,30000,0.3948570489883423
1733804271.0118027,31600,0.7115158438682556
1733804330.0305882,34917,0.4776632487773895
1733804335.2327385,35197,1.2838109731674194
1733804368.6412678,37013,0.7189915180206299
1733804431.1448958,40000,0.21452681720256805
1733804460.5891821,41600,0.1801265925168991
1733804467.522306,41970,0.528692364692688
1733804585.8984458,48370,0.28844398260116577
1733804618.1865978,50000,0.11310894042253494
1733804650.6962726,51802,0.30291783809661865
1733804687.2107716,53812,0.5464081168174744
1733804769.0463307,58687,0.3629860281944275
1733804796.2672315,60000,0.4018520712852478
1733804855.3669322,63313,0.7071729302406311
1733804893.9730368,65593,0.28436189889907837
1733804977.0909805,70000,0.13213306665420532
1733804980.7844846,70187,0.19321699440479279
1733805038.250635,73539,0.2488114833831787
1733805151.5917075,79508,0.1681816726922989
1733805166.7485266,80000,0.1365690380334854
1733805292.3294635,86400,0.23155932128429413
1733805367.6784341,90000,0.07537934929132462
1733805429.5603526,93200,0.06615456193685532
1733805526.3729022,98127,0.08421396464109421
1733805570.5079703,100000,0.08888234198093414
1733805667.410854,104800,0.08097992837429047
1733805781.6516793,110000,0.13915063440799713
1733805814.6221657,111600,0.07250169664621353
1733805939.5437763,118000,0.08233441412448883
1733805979.9872158,120000,0.050196245312690735
1733806047.2626173,123283,0.09604187309741974
1733806179.6218228,129683,0.05484586954116821
1733806193.5356836,130000,0.07430150359869003
1733806318.54386,136400,0.03887275606393814
1733806396.817736,140000,0.1926252543926239
1733806459.69151,143200,0.04169996827840805
1733806558.585058,148111,0.046870872378349304
1733806602.4273915,150000,0.08181088417768478
1733806699.346195,154800,0.04521738737821579
1733806807.3227265,160000,0.05990568920969963
1733806839.748853,161600,0.04288434982299805
1733806968.3342025,168000,0.033781975507736206
1733806983.4888127,168732,0.08722065389156342
1733807017.4013577,170000,0.08053091168403625
1733807098.428678,173949,0.09126576036214828
1733807231.3891556,180000,0.05467211455106735
1733807263.7029266,181600,0.11516222357749939
1733807394.6935365,188000,0.037382256239652634
1733807442.731342,190000,0.05009147897362709
1733807541.8772075,194800,0.043201424181461334
1733807652.339503,200000,0.07931707799434662
1733807657.6871707,200230,0.06838683038949966
1733807786.3253908,206630,0.0745721384882927
1733807862.7439995,210000,0.03190100938081741
1733807927.7326531,213200,0.034973494708538055
1733808057.2451522,219600,0.04699636995792389
1733808070.667985,220000,0.05162636190652847
1733808203.19287,226400,0.03295731171965599
1733808283.972444,230000,0.048327311873435974
1733808349.9683545,233200,0.10658162832260132
1733808451.0961943,238195,0.08434971421957016
1733808487.6639762,240000,0.025046756491065025
1733808494.7779105,240381,0.03449685126543045
1733808568.9074383,244003,0.040838874876499176
1733808685.5974076,249654,0.039899181574583054
1733808700.9389777,250000,0.05567334219813347
1733808831.1404438,256400,0.03633769601583481
1733808913.4242485,260000,0.11283983290195465
1733808957.1771715,262139,0.08164729923009872
1733809040.7783792,266259,0.066435806453228
1733809122.571414,270000,0.04086432233452797
1733809190.8516934,273200,0.03919501602649689
1733809266.8322642,276925,0.05976666510105133
1733809338.3206828,280000,0.03848784789443016
1733809370.4008846,281600,0.06916758418083191
1733809503.6883605,288000,0.04535897821187973
1733809554.411738,290000,0.048326797783374786
1733809653.2223263,294800,0.03593188896775246
1733809766.1515188,300000,0.04058016091585159
1733809799.0785818,301600,0.045724544674158096
1733809899.972199,306544,0.03333757445216179
1733809979.8789625,310000,0.04201403632760048
1733810044.1583347,313200,0.0321827195584774
1733810183.0061948,319600,0.02721261791884899
1733810198.5846667,320000,0.033804621547460556
1733810331.9203584,326400,0.027531038969755173
1733810402.3119268,329842,0.02503521926701069
1733810413.8568475,330000,0.03149482607841492
1733810517.7511787,335047,0.028296276926994324
1733810521.6389287,335248,0.05951182544231415
1733810531.1352508,335692,0.06035959720611572
1733810627.139277,340000,0.05237024649977684
1733810695.1983612,343200,0.03115183673799038
1733810769.2190964,346766,0.041162896901369095
1733810843.9753802,350000,0.05595371499657631
1733810910.0782065,353200,0.02691638097167015
1733811019.9676616,358486,0.041130490601062775
1733811059.7952561,360000,0.04287821054458618
1733811193.416472,366400,0.042255889624357224
1733811275.1005898,370000,0.02442333474755287
1733811342.8871195,373200,0.03080882877111435
1733811452.6750438,378160,0.024037042632699013
1733811498.074498,380000,0.0283331498503685
1733811550.1977468,382437,0.025429382920265198
1733811603.2063384,384937,0.027815213426947594
1733811663.277808,387691,0.051232196390628815
1733811719.470128,390000,0.05630697309970856
1733811754.543668,391600,0.05529429391026497
1733811839.062468,395460,0.058237530291080475
1733811941.4664943,400000,0.07173093408346176
1733812013.431661,403200,0.040832698345184326
1733812057.7543976,405203,0.0616116002202034
1733812133.2671447,408884,0.06038176268339157
1733812160.8358088,410000,0.06533627212047577
1733812257.714657,414314,0.08415265381336212
1733812356.3042758,418689,0.21515589952468872
1733812389.2011635,420000,0.0747501403093338
1733812491.063944,424746,0.07869455963373184
1733812564.209168,428034,0.07264132052659988
1733812606.7978957,430000,0.09228809177875519
1733812680.158245,433392,0.10025329887866974
1733812810.548551,439511,0.09365810453891754
1733812827.417566,440000,0.07266133278608322
1733812950.7967594,445597,0.08640466630458832
1733813052.8387415,450000,0.07395613938570023
1733813117.7635098,453090,0.08908214420080185
1733813220.1269832,457897,0.10325388610363007
1733813271.7490268,460000,0.09414154291152954
1733813291.623378,461026,0.0850471779704094
1733813385.5365407,465384,0.10799571871757507
1733813490.4160333,470000,0.09878627955913544
1733813501.4309032,470483,0.10825613886117935
1733813594.2417397,474766,0.1240481361746788
1733813666.6472008,478119,0.12414585053920746
1733813707.1289995,480000,0.15856389701366425
1733813756.3939552,482234,0.15781617164611816
1733813873.6544883,487666,0.1063106432557106
1733813930.8451366,490000,0.11429639905691147
1733814012.0472014,493821,0.10781382769346237
1733814110.152688,498225,0.13361681997776031
1733814152.4139616,500000,0.10717098414897919
