Wall time,Step,Value
1733799591.9636726,345,86.25
1733799593.2046177,3665,458.125
1733799594.3948646,6989,582.4166870117188
1733799594.4808428,7287,455.4375
1733799594.5800402,7558,377.8999938964844
1733799603.1016748,10145,391.5
1733799607.1901157,10768,357.8214416503906
1733799609.9332893,11115,323.9375
1733799626.3442836,12885,337.1111145019531
1733799629.961371,13264,312.875
1733799632.8581114,13556,291.06817626953125
1733799634.9218411,13780,271.4791564941406
1733799640.2059772,14336,261.2884521484375
1733799651.3200455,15486,263.16070556640625
1733799657.2286375,16076,255.4499969482422
1733799659.5048125,16319,243.28125
1733799661.7969103,16561,232.5294189453125
1733799664.2057638,16809,223.05555725097656
1733799666.1534488,16997,213.7894744873047
1733799668.11797,17184,205.4375
1733799670.8374782,17437,198.6666717529297
1733799673.3585787,17672,192.30682373046875
1733799676.823433,17975,187.2391357421875
1733799680.677854,18365,183.5
1733799683.980796,18700,179.50999450683594
1733799687.2218227,19030,179.36000061035156
1733799691.468544,19455,150.41000366210938
1733799700.6186764,20255,123.83999633789062
1733799704.6958034,20650,124.80999755859375
1733799707.8442495,20964,125.23999786376953
1733799712.2047038,21406,111.27999877929688
1733799715.5237632,21744,108.43000030517578
1733799729.6344156,23096,118.4800033569336
1733799733.9227042,23501,104.83000183105469
1733799737.0459528,23808,104.11000061035156
1733799741.6017928,24232,105.43000030517578
1733799745.943971,24662,107.48999786376953
1733799772.8394372,27218,127.48999786376953
1733799776.7553837,27594,119.75
1733799792.7895277,29092,128.8300018310547
1733799802.886644,29989,135.3699951171875
1733799826.9011512,32212,155.07000732421875
1733799838.149747,33230,162.77000427246094
1733799842.955249,33675,165.33999633789062
1733799847.1810865,34078,167.5
1733799867.5934124,35929,183.47999572753906
1733799888.9312766,37866,200.5
1733799956.0412042,43457,248.0399932861328
1733800001.5661507,47732,286.8900146484375
1733800031.7619314,50408,303.3500061035156
1733800053.5212383,52465,320.6199951171875
1733800079.710139,54966,341.3800048828125
1733800088.165426,55763,342.67999267578125
1733800121.3924668,58742,368.5199890136719
1733800158.6451783,61963,385.010009765625
1733800212.2454257,66400,424.9599914550781
1733800242.594673,69039,447.9700012207031
1733800313.372257,74014,477.2699890136719
1733800322.3032136,74781,480.8900146484375
1733800339.806027,76222,492.2300109863281
1733800412.301748,81600,527.3800048828125
1733800498.3510597,88000,587.0800170898438
1733800570.1047823,92773,605.25
1733800646.0451176,98539,659.1500244140625
1733800757.0680285,106400,708.1699829101562
1733800856.4340935,113200,763.2000122070312
1733800946.9671657,119600,805.0800170898438
1733801021.4489717,124317,838.0700073242188
1733801136.1234121,131600,897.6199951171875
1733801229.4329183,137947,957.0599975585938
1733801334.0907161,144536,998.989990234375
1733801437.2940595,151353,1038.969970703125
1733801532.277321,157753,1052.4000244140625
1733801607.5894034,162459,1051.18994140625
1733801653.1965663,165411,1060.9000244140625
1733801707.7329035,169048,1076.699951171875
1733801769.1973596,172851,1087.47998046875
1733801841.7993503,177743,1128.4300537109375
1733801914.6134129,182267,1134.25
1733801962.6704538,185312,1145.0699462890625
1733802054.3100934,191229,1150.3199462890625
1733802125.7602506,195939,1171.030029296875
1733802184.9785573,199790,1166.719970703125
1733802257.890914,204268,1201.72998046875
1733802322.7067864,208573,1230.3699951171875
1733802373.633552,211525,1211.760009765625
1733802439.5422823,215855,1191.06005859375
1733802500.0558057,219871,1187.489990234375
1733802562.2612643,223667,1166.5
1733802630.0931726,227829,1144.1199951171875
1733802698.1868763,231987,1120.5400390625
1733802762.7630858,236048,1097.1500244140625
1733802830.8215919,240000,1093.5
1733802877.7017124,242987,1059.3699951171875
1733802939.9691093,247001,1036.0400390625
1733803007.6256578,250995,1015.489990234375
1733803064.2345603,254708,993.27001953125
1733803125.7762077,258593,968.1199951171875
1733803194.5041153,262868,964.77001953125
1733803255.0570076,266692,973.489990234375
1733803327.8149474,270894,970.0999755859375
1733803388.133909,274475,970.1199951171875
1733803445.2744932,278109,957.5399780273438
1733803506.680555,281820,958.1199951171875
1733803552.172663,284607,955.5399780273438
1733803610.018451,288101,940.8599853515625
1733803671.609491,291732,928.5599975585938
1733803719.3752007,294601,918.739990234375
1733803778.0874271,298056,910.6099853515625
