Wall time,Step,Value
1733797427.447954,800,0.5032618641853333
1733797436.9155645,1600,0.263108491897583
1733797446.2652974,2400,0.21000936627388
1733797454.9935942,3200,0.2254009246826172
1733797463.4825642,4000,0.21574656665325165
1733797472.2595596,4800,0.16068334877490997
1733797481.488812,5600,0.12059880793094635
1733797491.1019666,6400,0.10436820238828659
1733797500.1861985,7200,0.09160243719816208
1733797509.2435656,8000,0.08303701132535934
1733797518.4910805,8800,0.07471572607755661
1733797528.1983602,9600,0.05386203154921532
1733797537.8918002,10400,0.05125128850340843
1733797546.6522028,11200,0.05489811301231384
1733797556.0711427,12000,0.04875645413994789
1733797566.20456,12800,0.041112806648015976
1733797575.0308964,13600,0.033669959753751755
1733797583.2648957,14400,0.03398117795586586
1733797593.0082567,15200,0.04335014894604683
1733797602.2125983,16000,0.041702404618263245
1733797611.6128018,16800,0.04295692965388298
1733797620.9358099,17600,0.037703465670347214
1733797630.3563423,18400,0.038576383143663406
1733797639.4642937,19200,0.03831672668457031
1733797648.5514855,20000,0.047479886561632156
