Wall time,Step,Value
1733797427.4479382,800,26.57283592224121
1733797436.9155467,1600,51.96431350708008
1733797446.2652793,2400,68.93392181396484
1733797454.993578,3200,77.08712768554688
1733797463.4825478,4000,73.28958129882812
1733797472.259544,4800,71.9844970703125
1733797481.488789,5600,77.69229125976562
1733797491.10195,6400,73.05123901367188
1733797500.1861498,7200,68.65691375732422
1733797509.2435098,8000,65.06017303466797
1733797518.491064,8800,63.59656524658203
1733797528.1983418,9600,68.77303314208984
1733797537.891784,10400,59.388126373291016
1733797546.6521876,11200,54.38374328613281
1733797556.0711257,12000,48.54142379760742
1733797566.2045445,12800,52.910438537597656
1733797575.0308785,13600,60.218971252441406
1733797583.264881,14400,45.54998779296875
1733797593.0082407,15200,44.840702056884766
1733797602.2125823,16000,41.68410110473633
1733797611.6127858,16800,51.1591796875
1733797620.9357808,17600,37.50675964355469
1733797630.3563206,18400,35.053993225097656
1733797639.4642773,19200,39.978912353515625
1733797648.55147,20000,38.12974548339844
